ramp_merge	pie_merge	phi	delta	v_min	time_gap	fitness
0.59	0.95	3.11	0.3	3.21	1.32	173.681
0.49	0.99	3.58	0.03	4.42	1.31	147.285
0.34	0.92	3.3	0.02	3.67	1.38	217.776
0.21	0.86	2.46	0.14	3.87	1.49	345.684
0.56	0.87	2.89	0.45	5.2	1.44	271.032
0.45	0.85	3.32	0.49	4.29	1.38	253.192
0.38	0.88	1.82	0.1	3.35	1.39	254.697
0.48	0.91	3.16	0.23	3.64	1.38	224.948
0.31	0.98	2.1	0.14	5.2	1.27	95.108
0.44	0.93	1.91	0.45	5.52	1.4	263.706
0.24	0.99	2.55	0.38	3.6	1.46	370.779
0.25	0.87	3.28	0.56	3.63	1.49	412.363
0.28	0.96	2.03	0.35	5.78	1.31	83.798
0.29	0.95	3.17	0.4	4.92	1.2	83.48
0.62	0.97	2.64	0.16	4.87	1.46	350.89
0.45	0.95	2.52	0.02	5.26	1.2	117.342
0.51	0.88	1.86	0.37	3.44	1.42	258.12
0.31	0.95	2.14	0.38	4.71	1.27	84.048
0.28	0.91	3.41	0.53	3.05	1.24	84.302
0.54	0.92	3.36	0.24	4.41	1.48	358.645
0.39	0.98	2.37	0.17	5.12	1.35	225.382
0.33	0.88	2.15	0.39	4.57	1.49	345.004
0.28	0.93	2.39	0.12	5.73	1.38	228.832
